Lat,Long,Month,Day,Year,"Chlorophyll a, total",Divinyl chlorophyll a,Chlorophyll b,19-Hexanoyloxyfucoxanthin,19-Butanoyloxyfucoxanthin,Fucoxanthin,Peridinin,Alloxanthin,Zeaxanthin
-66.25315,-67.33696667,1,27,1997,0.3944,NaN,0.0082,0.0926,0.0151,0.1095,0.0165,0.0655,0
-66.50026667,-66.68748333,2,7,1997,0.8401,NaN,0.0205,0.2023,0.0502,0.2928,0,0.013,0
-68.10866667,-68.09866667,2,3,1996,21.1519,NaN,0.084,0.094,0.0496,8.3051,0.0901,0,0
-68.10766667,-68.08616667,2,4,1996,17.7078,NaN,0.0772,0.0642,0.0294,5.8227,0.0491,0.1005,0
36.8852,-75.719,7,4,2006,3.0373,0.0001,0.2577,0.0506,0.0512,0.4462,0.0541,0.0285,1.16
36.9004,-75.9085,7,4,2006,6.1174,0.0001,0.5136,0.1239,0.0907,1.7301,0.3192,0.1085,0.6113
38.2685,-74.5495,7,5,2006,0.7656,0.0001,0.0566,0.1718,0.0317,0.0973,0.0738,0.0079,0.0978
47.14161,-13.93849,6,13,2003,0.2097,0,NaN,0.13125,0.04362,0.03292,0.01077,0.00063,0.01023
-21.65241,12.40421,5,23,1998,1.783,0,0,0.32236,0.09049,0.55064,0,0.02484,0.16357
-21.39835,12.10123,5,23,1998,1.904,0,0.18032,0.9295,0.20278,0.33389,0.16668,0.02496,0.09593
40.501,-18.666,4,8,2001,0.71873,0,NaN,0.4079914,0.04191745,0.03486325,0,0.003869057,0.016538497
41.299,-17.2,8,30,2001,0.06231,0.02706014,NaN,0.006079891,0,0,0,0,0.04391179
-69.1105,29.988,1,23,2006,0.5999,NaN,0.001394633,0.132804643,0.003759645,0.255514322,0.003217864,0.009586012,0.068340466
42.001,-20.666,2,20,2001,0.61932,0,NaN,0.18581058,0.059459898,0.03348876,0.008540771,0.012494272,0.053607394
-65.495,-69.2,1,16,2006,0.748,NaN,0,0.0235,0.0673,0.4611,0.0392,0.0025,0
-25.98,-114.01,11,12,2004,0.02332,0.004716716,0.001240944,0.006472101,0.002283916,0.001390242,0.000670733,0,0.011417463
-67.773,-69.942,1,26,2006,5.6005,NaN,0,0.0892,0.0333,4.434,0.0601,0.0156,0
-64.26666667,-62.75,10,14,1993,0.52906,NaN,0.021618038,0.071111895,0.016703801,0.197294603,0,0,0.002213742
-66.579,-72.741,1,23,2006,0.4278,NaN,0,0.1496,0.0093,0.2983,0.0085,0.0024,0
-66.766,-69.232,1,19,2001,0.62936,NaN,0.044618474,0.058907359,0.169477962,1.274940456,NaN,0.045807298,0.010202617
43.6,-17.2,8,31,2001,0.09265,0.03350767,NaN,0.014611629,0.004512385,0,0.004964497,0,0.06354874
40.499,-17.999,2,13,2001,0.47514,0.014998031,NaN,0.11127515,0.042680669,0.01784123,0,0.008884666,0.037919846
-68.19716667,40.007,1,30,2006,0.04647,NaN,0.000626718,0.020011364,0.006472768,0.015830508,0,0,0.002123523
-13.54,-132.11,11,4,2004,0.09193,0.04346192,0.006917891,0.026254966,0.003917258,0.00217572,0.002222667,0,0.096196299
-8.4,-141.24,10,26,2004,0.33206,0.043852995,0.033203931,0.120604512,0.055464416,0.06616767,0.013472773,0,0.050538926
-66.002,-67.973,1,17,2006,7.0297,NaN,0.0443,0.2943,0.0631,6.5989,0.1113,0.0248,0.0315
42.5,-20.663,2,20,2001,0.38069,0,NaN,0.09941617,0.043895992,0.01609957,0,0.008504745,0.028559124
42.254,-19.019,9,24,2001,0.1145,0.05261927,NaN,0.01837651,0.006867385,0.005407095,0,0,0.062660704
22.8,-158,5,14,1998,0.105,0.032,0.006,0.012,0.005,0.008,0.001,NaN,0.065
22.8,-158,7,16,1998,0.114,0.035,0.009,0.015,0.004,0.009,0.001,NaN,0.074
22.8,-158,10,19,2000,0.143,0.048,0.013,0.021,0.006,0.005,0.001,NaN,0.077
22.8,-158,4,25,2003,0.121,0.038,0.008,0.011,0.003,0.007,0.001,NaN,0.077
22.8,-158,3,21,2004,0.103,0.023,0.02,0.018,0.008,0.007,0.001,NaN,0.064
